19:24: [INFO]: Logfile was cleared
19:24: [INFO]: File NYL_FieldAgent_20210219.csv selected as most recent file
19:24: [INFO]: Difference in line counts between NYL_FieldAgent_20210219.csv and NYL_FieldAgent_20210212.csv was 6
19:24: [INFO]: Invalid email stevemorganft.NewYorkLife.com in row 2
19:24: [INFO]: Invalid number 3013.941.8607 in row 5
19:24: [INFO]: No agent phone number in row 71
19:24: [INFO]: No agent phone number in row 103
19:24: [INFO]: Invalid state NZ in row 117
19:24: [INFO]: No agent phone number in row 141
19:24: [INFO]: No agent phone number in row 173
19:24: [INFO]: No agent phone number in row 226
19:24: [INFO]: No agent phone number in row 233
19:24: [INFO]: No agent phone number in row 413
19:24: [INFO]: No agent phone number in row 483
19:24: [INFO]: No agent phone number in row 490
19:24: [INFO]: No agent phone number in row 493
19:24: [INFO]: No agent phone number in row 546
19:24: [INFO]: No agent phone number in row 554
19:24: [INFO]: No agent phone number in row 561
19:24: [INFO]: No agent phone number in row 591
19:24: [INFO]: No agent phone number in row 655
19:24: [INFO]: No agent phone number in row 692
19:24: [INFO]: No agent phone number in row 709
19:24: [INFO]: No agent phone number in row 716
19:24: [INFO]: No agent phone number in row 762
19:24: [INFO]: No agent phone number in row 784
19:24: [INFO]: No agent phone number in row 832
19:24: [INFO]: No agent phone number in row 857
19:24: [INFO]: No agent phone number in row 864
19:24: [INFO]: No agent phone number in row 873
19:24: [INFO]: No agent phone number in row 889
19:24: [INFO]: No agent phone number in row 900
19:24: [INFO]: No agent phone number in row 904
19:24: [INFO]: No agent phone number in row 906
19:24: [INFO]: No agent phone number in row 913
19:24: [INFO]: No agent phone number in row 917
19:24: [INFO]: No agent phone number in row 920
19:24: [INFO]: No agent phone number in row 927
19:24: [INFO]: No agent phone number in row 945
19:24: [INFO]: No agent phone number in row 946
19:24: [INFO]: No agent phone number in row 957
19:24: [INFO]: No agent phone number in row 965
19:24: [INFO]: No agent phone number in row 974
19:24: [INFO]: No agent phone number in row 975
19:24: [INFO]: No agent phone number in row 977
19:24: [INFO]: No agent phone number in row 987
19:24: [INFO]: No agent phone number in row 1013
19:24: [INFO]: No agent phone number in row 1014
19:24: [INFO]: No agent phone number in row 1025
19:24: [INFO]: No agent phone number in row 1035
19:24: [INFO]: No agent phone number in row 1037
19:24: [INFO]: No agent phone number in row 1039
19:24: [INFO]: No agent phone number in row 1043
19:24: [INFO]: No agent phone number in row 1045
19:24: [INFO]: No agent phone number in row 1047
19:24: [INFO]: No agent phone number in row 1058
19:24: [INFO]: No agent phone number in row 1080
19:24: [INFO]: No agent phone number in row 1086
19:24: [INFO]: No agent phone number in row 1091
19:24: [INFO]: No agent phone number in row 1094
19:24: [INFO]: No agent phone number in row 1099
19:24: [INFO]: No agent phone number in row 1104
19:24: [INFO]: No agent phone number in row 1105
19:24: [INFO]: No agent phone number in row 1110
19:24: [INFO]: No agent phone number in row 1112
19:24: [INFO]: No agent phone number in row 1115
19:24: [INFO]: No agent phone number in row 1118
19:24: [INFO]: No agent phone number in row 1119
19:24: [INFO]: No agent phone number in row 1122
19:24: [INFO]: No agent phone number in row 1127
19:24: [INFO]: No agent phone number in row 1130
19:24: [INFO]: No agent phone number in row 1131
19:24: [INFO]: No agent phone number in row 1137
19:24: [INFO]: No agent phone number in row 1143
19:24: [INFO]: No agent phone number in row 1148
19:24: [INFO]: No agent phone number in row 1151
19:24: [INFO]: No agent phone number in row 1162
19:24: [INFO]: No agent phone number in row 1172
19:24: [INFO]: No agent phone number in row 1176
19:24: [INFO]: No agent phone number in row 1177
19:24: [INFO]: No agent phone number in row 1190
19:24: [INFO]: No agent phone number in row 1192
19:24: [INFO]: No agent phone number in row 1202
19:24: [INFO]: No agent phone number in row 1207
19:24: [INFO]: No agent phone number in row 1216
19:24: [INFO]: No agent phone number in row 1218
19:24: [INFO]: No agent phone number in row 1221
19:24: [INFO]: No agent phone number in row 1225
19:24: [INFO]: No agent phone number in row 1227
19:24: [INFO]: No agent phone number in row 1229
19:24: [INFO]: No agent phone number in row 1232
19:24: [INFO]: No agent phone number in row 1235
19:24: [INFO]: No agent phone number in row 1238
19:24: [INFO]: No agent phone number in row 1248
19:24: [INFO]: No agent phone number in row 1262
19:24: [INFO]: No agent phone number in row 1265
19:24: [INFO]: No agent phone number in row 1266
19:24: [INFO]: No agent phone number in row 1268
19:24: [INFO]: No agent phone number in row 1270
19:24: [INFO]: No agent phone number in row 1273
19:24: [INFO]: No agent phone number in row 1276
19:24: [INFO]: No agent phone number in row 1283
19:24: [INFO]: No agent phone number in row 1287
19:24: [INFO]: No agent phone number in row 1291
19:24: [INFO]: No agent phone number in row 1296
19:24: [INFO]: No agent phone number in row 1297
19:24: [INFO]: No agent phone number in row 1304
19:24: [INFO]: No agent phone number in row 1309
19:24: [INFO]: No agent phone number in row 1310
19:24: [INFO]: No agent phone number in row 1316
19:24: [INFO]: No agent phone number in row 1318
19:24: [INFO]: No agent phone number in row 1319
19:24: [INFO]: No agent phone number in row 1324
19:24: [INFO]: No agent phone number in row 1327
19:24: [INFO]: No agent phone number in row 1329
19:24: [INFO]: No agent phone number in row 1333
19:24: [INFO]: No agent phone number in row 1337
19:24: [INFO]: No agent phone number in row 1339
19:24: [INFO]: No agent phone number in row 1340
19:24: [INFO]: No agent phone number in row 1341
19:24: [INFO]: No agent phone number in row 1346
19:24: [INFO]: No agent phone number in row 1355
19:24: [INFO]: No agent phone number in row 1359
19:24: [INFO]: No agent phone number in row 1367
19:24: [INFO]: No agent phone number in row 1372
19:24: [INFO]: No agent phone number in row 1376
19:24: [INFO]: No agent phone number in row 1377
19:24: [INFO]: No agent phone number in row 1378
19:24: [INFO]: No agent phone number in row 1379
19:24: [INFO]: No agent phone number in row 1387
19:24: [INFO]: No agent phone number in row 1390
19:24: [INFO]: No agent phone number in row 1393
19:24: [INFO]: No agent phone number in row 1394
19:24: [INFO]: No agent phone number in row 1396
19:24: [INFO]: No agent phone number in row 1407
19:24: [INFO]: No agent phone number in row 1408
19:24: [INFO]: No agent phone number in row 1409
19:24: [INFO]: No agent phone number in row 1418
19:24: [INFO]: No agent phone number in row 1419
19:24: [INFO]: No agent phone number in row 1420
19:24: [INFO]: No agent phone number in row 1423
19:24: [INFO]: No agent phone number in row 1428
19:24: [INFO]: No agent phone number in row 1436
19:24: [INFO]: No agent phone number in row 1438
19:24: [INFO]: No agent phone number in row 1440
19:24: [INFO]: No agent phone number in row 1441
19:24: [INFO]: No agent phone number in row 1449
19:24: [INFO]: No agent phone number in row 1450
19:24: [INFO]: No agent phone number in row 1451
19:24: [INFO]: No agent phone number in row 1457
19:24: [INFO]: No agent phone number in row 1460
19:24: [INFO]: No agent phone number in row 1463
19:24: [INFO]: No agent phone number in row 1465
19:24: [INFO]: No agent phone number in row 1469
19:24: [INFO]: No agent phone number in row 1470
19:24: [INFO]: No agent phone number in row 1471
19:24: [INFO]: No agent phone number in row 1472
19:24: [INFO]: No agent phone number in row 1482
19:24: [INFO]: No agent phone number in row 1483
19:24: [INFO]: No agent phone number in row 1485
19:24: [INFO]: No agent phone number in row 1487
19:24: [INFO]: No agent phone number in row 1488
19:24: [INFO]: No agent phone number in row 1492
19:24: [INFO]: No agent phone number in row 1493
19:24: [INFO]: No agent phone number in row 1498
19:24: [INFO]: No agent phone number in row 1501
19:24: [INFO]: No agent phone number in row 1502
